"mjd","residual"
57734.4599879606,527862.182617
57734.4599889967,652165.588379
57734.4599900314,660478.69873
57734.4599910664,688813.598633
57734.4599920986,472737.731934
57734.4599931408,1128343.261719
57734.4599941714,774060.48584
57734.4599952017,398512.60376
57734.4599962452,1166151.000977
57734.4599972772,933739.685059
57734.4599983103,804975.219727
57734.4599993506,1291683.59375
57734.4600003887,1587028.930664
57734.4600014153,888947.875977
57734.4600024459,542264.526367
57734.4600034843,867081.359863
57734.4600045196,917301.391602
57734.4600055511,649736.14502
57734.4600065895,971497.924805
57734.4600076238,943964.904785
57734.4600086555,687424.987793
57734.4600096938,1004421.020508
57734.4600107281,969771.728516
57734.4600117632,1006831.542969
57734.4600127947,737976.257324
57734.4600138307,851567.504883
57734.4600148669,986506.835938
57734.4600158969,586171.203613
57734.46001693,449371.520996
57734.4600179634,342463.775635
57734.4600190053,968507.69043
57734.4600200382,822434.875488
57734.4600210726,799522.399902
57734.4600221069,768985.168457
57734.4600231396,602157.531738
57734.4600241742,590741.577148
57734.4600252088,592075.622559
57734.460026245,726510.009766
57734.4600272819,918463.07373
57734.4600283159,863012.878418
57734.4600293477,615651.306152
57734.4600303828,655364.746094
57734.4600314179,691516.052246
57734.4600324538,797358.215332
57734.4600334887,815735.168457
57734.4600345188,427097.503662
57734.4600355572,750159.545898
57734.4600365879,410178.375244
57734.4600376251,626733.093262
57734.4600386627,886426.818848
57734.4600396955,725738.037109
57734.4600407323,911072.387695
57734.460041761,399525.390625
57734.4600427996,733532.836914
57734.4600438342,732631.103516
57734.4600448668,550742.919922
57734.4600459022,614543.334961
57734.460046935,456539.550781
57734.4600479714,605894.714355
57734.4600490086,827928.771973
57734.4600500432,821633.239746
57734.4600510755,619289.18457
57734.4600521126,836831.115723
57734.4600531465,770776.855469
57734.4600541843,1040385.620117
57734.4600552123,461342.102051
57734.4600562473,492332.794189
57734.4600572834,622139.648438
57734.460058319,699783.02002
57734.4600593571,996279.663086
57734.4600603865,546511.535645
57734.460061422,617531.555176
57734.4600624538,373995.330811
57734.4600634921,687950.683594
57734.4600645268,693865.722656
57734.460065566,1080280.883789
57734.4600665954,631570.617676
57734.4600676329,878817.626953
57734.4600686644,603495.97168
57734.4600697025,898107.421875
57734.4600707384,1010334.228516
57734.4600717716,888265.74707
57734.4600728057,833815.917969
57734.460073842,977254.02832
57734.4600748718,558929.931641
57734.4600759089,768622.680664
57734.4600769433,745975.158691
57734.4600779777,725103.515625
57734.4600790104,562000.366211
57734.4600800457,615804.077148
57734.460081081,670314.575195
57734.4600821168,770278.869629
57734.4600831514,765330.871582
57734.4600841866,816107.299805
57734.4600852266,1275015.258789
57734.4600862562,834791.320801
57734.4600872856,386176.78833
57734.4600883239,700936.157227
57734.4600893581,661559.753418
57734.4600903935,727441.772461
57734.4600914293,827210.327148
57734.4600924592,414884.246826
57734.4600934927,311261.657715
57734.4600945335,843487.609863
57734.4600955699,991559.936523
57734.460096603,864628.90625
57734.4600976342,560086.364746
57734.4600986748,1078501.220703
57734.4600997046,661683.410645
57734.460100742,895557.739258
57734.4601017734,613349.54834
57734.4601028052,372819.396973
57734.4601038452,826110.839844
57734.4601048789,744328.735352
57734.4601059161,969974.182129
57734.4601069482,746255.310059
57734.4601079822,688300.720215
57734.4601090176,752640.625
57734.4601100557,1053940.917969
57734.4601110895,982033.691406
57734.4601121252,1070626.098633
57734.4601131567,799230.895996
57734.4601141941,1034763.183594
57734.460115223,540028.747559
57734.4601162623,940554.870605
57734.4601172914,457869.750977
57734.4601183251,378838.439941
57734.46011936,399749.328613
57734.4601204001,867185.852051
57734.460121442,1490460.449219
57734.4601224707,983496.520996
57734.4601235053,977822.20459
57734.4601245387,865016.296387
57734.4601255723,777619.750977
57734.4601266076,833195.617676
57734.4601276396,600864.562988
57734.4601286756,721072.998047
57734.4601297101,703506.835938
57734.4601307414,420629.730225
57734.4601317798,745084.960938
57734.4601328155,832373.046875
57734.4601338467,530273.010254
57734.4601348859,925978.393555
57734.4601359216,1012706.054688
57734.4601369502,490021.942139
57734.4601379862,608431.152344
57734.4601390212,638099.182129
57734.4601400588,898287.04834
57734.4601410921,776880.67627
57734.4601431641,1014257.995605
57734.4601441978,923618.95752
57734.4601452324,923472.229004
57734.4601462647,717846.618652
57734.4601472977,581460.510254
57734.4601483366,942941.894531
57734.4601493624,183095.123291
57734.4601504038,762301.574707
57734.460151436,553327.392578
57734.4601524755,969969.665527
57734.4601535109,1032860.107422
57734.4601545443,924791.687012
57734.4601555777,818880.004883
57734.4601566116,749020.385742
57734.4601576454,676792.84668
57734.4601586803,703729.919434
57734.4601597154,737148.132324
57734.4601607484,597908.630371
57734.4601617849,757695.068359
57734.4601628214,911988.15918
57734.4601638542,753879.272461
57734.460164891,941335.9375
57734.4601659187,337069.122314
57734.4601669647,1323163.696289
57734.4601679913,624249.206543
57734.460169025,545320.251465
57734.4601700601,577739.990234
57734.4601710953,628408.26416
57734.4601721258,269216.094971
57734.4601731671,846689.27002
57734.4601742008,762841.125488
57734.4601752381,991329.406738
57734.4601762692,683805.908203
57734.4601773038,680028.625488
57734.4601783405,854009.460449
57734.4601793735,708962.768555
57734.4601804149,1292382.202148
57734.4601814472,1090968.017578
57734.460182482,1100837.036133
57734.4601835161,1054275.024414
57734.4601845464,684992.919922
57734.4601855817,734167.297363
57734.460186618,875592.346191
57734.4601876571,1263024.780273
57734.4601886904,1145604.125977
57734.4601897223,913376.77002
57734.4601907618,1330156.37207
57734.4601917899,758987.487793
57734.4601928222,560259.765625
57734.4601938551,410596.710205
57734.4601948925,646029.418945
57734.4601959292,823289.550781
57734.4601969632,765605.407715
57734.4601979986,832848.510742
57734.460199034,890453.918457
57734.4602000665,707036.193848
57734.4602011011,703538.085938
57734.4602021383,919376.708984
57734.4602031735,966561.950684
57734.4602042068,850459.838867
57734.460205241,816186.828613
57734.4602062715,457579.833984
57734.4602073082,636502.807617
57734.4602083399,380675.231934
57734.4602093759,498568.237305
57734.460210412,619227.966309
57734.4602114471,654769.226074
57734.4602124836,821437.927246
57734.4602135163,650437.438965
57734.4602145508,635245.483398
57734.460215585,597992.370605
57734.4602166195,579879.821777
57734.4602186916,826878.662109
57734.4602197267,865420.715332
57734.4602207631,1013537.780762
57734.4602217901,350642.211914
57734.4602228236,256433.013916
57734.4602238618,557739.746094
57734.4602248994,812501.098633
57734.4602259353,920855.407715
57734.460226965,497773.010254
57734.4602279993,460478.271484
57734.4602290316,265195.068359
57734.4602300689,492960.510254
57734.4602311103,1072416.381836
